iter	Passed	Remaining
0	154	15320
1	158	7766
2	162	5247
3	166	3997
4	170	3237
5	174	2726
6	177	2362
7	181	2088
8	185	1874
9	189	1701
10	191	1551
11	195	1433
12	199	1334
13	203	1248
14	207	1173
15	210	1106
16	214	1047
17	218	994
18	221	945
19	225	901
20	229	862
21	233	826
22	236	792
23	240	761
24	244	733
25	248	706
26	252	682
27	255	657
28	259	635
29	263	614
30	267	594
31	270	575
32	274	557
33	278	540
34	282	523
35	285	507
36	289	492
37	293	478
38	297	465
39	301	451
40	304	438
41	308	426
42	312	413
43	315	401
44	319	390
45	323	379
46	327	369
47	331	358
48	334	348
49	338	338
50	342	329
51	346	320
52	350	310
53	354	301
54	358	292
55	361	284
56	365	275
57	369	267
58	373	259
59	376	251
60	378	241
61	381	234
62	385	226
63	390	219
64	393	212
65	397	204
66	398	196
67	402	189
68	406	182
69	409	175
70	413	168
71	417	162
72	420	155
73	424	149
74	428	142
75	432	136
76	436	130
77	440	124
78	443	117
79	447	111
80	451	105
81	455	99
82	459	94
83	462	88
84	466	82
85	470	76
86	474	70
87	477	65
88	481	59
89	485	53
90	489	48
91	493	42
92	497	37
93	501	32
94	505	26
95	509	21
96	513	15
97	517	10
98	521	5
99	525	0
