name,year,selling_price,km_driven,fuel,seller_type,transmission,owner
2540,2014,3.35,27000,4,0,1,0
2543,2013,4.75,43000,1,0,1,0
2519,2017,7.25,6900,4,0,1,0
2546,2011,2.85,5200,4,0,1,0
2542,2014,4.6,42450,1,0,1,0
2545,2018,9.25,2071,1,0,1,0
2519,2015,6.75,18796,4,0,1,0
2541,2015,6.5,33429,1,0,1,0
2519,2016,8.75,20273,1,0,1,0
2519,2015,7.45,42367,1,0,1,0
2513,2017,2.85,2135,4,0,1,0
2519,2015,6.85,51000,1,0,1,0
2519,2015,7.5,15000,4,0,0,0
2527,2015,6.1,26000,4,0,1,0
2524,2009,2.25,77427,4,0,1,0
2527,2016,7.75,43000,1,0,1,0
2527,2015,7.25,41678,1,0,1,0
2527,2016,7.75,43000,1,0,1,0
2546,2015,3.25,35500,0,0,1,0
2543,2010,2.65,41442,4,0,1,0
2514,2016,2.85,25000,4,0,1,0
2536,2017,4.9,2400,4,0,1,0
2543,2011,4.4,50000,4,0,0,0
2514,2014,2.5,45280,4,0,1,0
2546,2013,2.9,56879,4,0,1,0
2542,2011,3.0,20000,4,0,1,0
2542,2013,4.15,55138,4,0,1,0
2542,2017,6.0,16200,4,1,1,0
2514,2010,1.95,44542,4,0,1,0
2519,2015,7.45,45000,1,0,1,0
2540,2012,3.1,51439,1,0,1,0
2540,2011,2.35,54200,4,0,1,0
2542,2014,4.95,39000,1,0,1,0
2527,2014,6.0,45000,1,0,1,0
2524,2014,5.5,45000,1,0,1,0
2543,2011,2.95,49998,0,0,1,0
2524,2015,4.65,48767,4,0,1,0
2514,2016,3.0,10079,4,0,1,0
2543,2003,2.25,62000,4,0,1,0
2516,2016,5.85,24524,4,0,0,0
2543,2008,1.95,58000,4,0,1,0
2524,2014,5.5,45780,1,0,1,0
2539,2012,1.25,50000,4,0,1,0
2519,2014,7.5,15000,4,0,0,0
2540,2013,2.65,64532,4,0,1,0
2546,2006,1.05,65000,4,0,1,0
2527,2015,5.8,25870,4,0,1,0
2519,2017,7.75,37000,4,0,0,0
2532,2012,14.9,104707,1,0,0,0
2532,2015,23.0,40000,1,0,0,0
2537,2017,18.0,15000,1,0,0,0
2532,2013,16.0,135000,1,1,0,0
2537,2005,2.75,90000,4,1,1,0
2522,2009,3.6,70000,4,0,0,0
2522,2010,4.75,50000,4,0,1,0
2529,2014,4.1,39485,4,0,1,1
2532,2014,19.99,41000,1,0,0,0
2522,2013,6.95,40001,4,0,1,0
2528,2015,4.5,40588,4,0,1,0
2532,2014,18.75,78000,1,0,0,0
2532,2015,23.5,47000,1,0,0,0
2532,2017,33.0,6000,1,0,0,0
2531,2014,4.75,45000,1,0,1,0
2537,2017,19.75,11000,4,0,0,0
2532,2010,9.25,59000,1,0,1,0
2522,2011,4.35,88000,4,0,1,0
2522,2016,14.25,12000,4,0,1,0
2531,2014,3.95,71000,1,0,1,0
2522,2011,4.5,45000,1,0,1,0
2522,2013,7.45,56001,4,0,1,0
2531,2011,2.65,43000,4,0,1,0
2528,2014,4.9,83000,1,0,1,0
